"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2010";"0000";"22,6";"22,9";"22,6";"93,0";"94,0";"93,0";"21,5";"21,7";"21,5";"947,4";"947,4";"946,7";"0,5";"342,0";"2,4";"";"0,0"
"01/01/2010";"0100";"22,6";"22,7";"22,5";"93,0";"94,0";"93,0";"21,5";"21,6";"21,4";"948,3";"948,4";"947,4";"0,8";"358,0";"2,5";"";"0,0"
"01/01/2010";"0200";"22,7";"22,7";"22,6";"93,0";"93,0";"93,0";"21,5";"21,5";"21,4";"948,9";"949,0";"948,3";"1,0";"2,0";"2,6";"";"0,0"
"01/01/2010";"0300";"22,8";"22,8";"22,6";"93,0";"94,0";"93,0";"21,6";"21,7";"21,5";"948,4";"948,9";"948,4";"2,5";"19,0";"4,0";"";"0,0"
"01/01/2010";"0400";"22,9";"22,9";"22,6";"92,0";"93,0";"92,0";"21,4";"21,6";"21,4";"947,8";"948,4";"947,8";"2,1";"20,0";"4,3";"";"0,0"
"01/01/2010";"0500";"22,5";"22,9";"22,5";"93,0";"93,0";"91,0";"21,3";"21,4";"21,3";"947,3";"947,8";"947,3";"1,1";"8,0";"4,6";"";"0,0"
"01/01/2010";"0600";"22,8";"22,8";"22,4";"93,0";"94,0";"93,0";"21,6";"21,6";"21,3";"947,2";"947,3";"947,1";"2,0";"343,0";"3,1";"";"0,0"
"01/01/2010";"0700";"22,6";"22,9";"22,6";"94,0";"94,0";"93,0";"21,6";"21,7";"21,6";"946,9";"947,2";"946,9";"0,0";"272,0";"3,5";"";"0,0"
"01/01/2010";"0800";"22,4";"22,7";"22,3";"94,0";"95,0";"94,0";"21,4";"21,8";"21,4";"947,0";"947,0";"946,8";"2,1";"335,0";"3,6";"";"1,0"
"01/01/2010";"0900";"22,2";"22,4";"22,1";"95,0";"95,0";"94,0";"21,4";"21,4";"21,2";"947,4";"947,4";"947,0";"1,3";"22,0";"3,6";"";"0,2"
"01/01/2010";"1000";"22,5";"22,5";"22,2";"95,0";"95,0";"95,0";"21,6";"21,7";"21,4";"947,9";"947,9";"947,4";"2,2";"326,0";"3,9";"49,50";"0,0"
"01/01/2010";"1100";"22,6";"22,8";"22,5";"95,0";"95,0";"94,0";"21,8";"21,8";"21,6";"948,5";"948,6";"947,9";"2,6";"311,0";"4,4";"170,20";"0,6"
"01/01/2010";"1200";"22,8";"22,9";"22,6";"95,0";"95,0";"94,0";"21,9";"22,1";"21,8";"948,9";"949,0";"948,5";"2,8";"300,0";"5,8";"354,70";"0,6"
"01/01/2010";"1300";"23,2";"23,3";"22,8";"93,0";"95,0";"93,0";"22,1";"22,1";"21,9";"949,2";"949,2";"948,9";"2,3";"314,0";"5,6";"306,20";"0,0"
"01/01/2010";"1400";"24,4";"24,4";"23,2";"90,0";"93,0";"89,0";"22,6";"22,7";"22,0";"949,3";"949,4";"949,2";"2,5";"316,0";"4,6";"741,30";"0,2"
